what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044840964
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366044842812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044842824
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366044844480
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366044846451
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-2]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1366044847339
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-2]', --device=1, --instance=0, --go, /home/user3/spring13/ie2147/Desktop/Git/Snake_Plus/software/snake_software/snake_software.elf] return code: 4, 'other error'",1366044850170
error,log,,,"Downloading ELF Process failed",1366044850177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044850250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044852086
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366044857216
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366044859360
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366044861058
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366044861882
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366044864327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044869794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044875500
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1366044884287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044885015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044887599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044896228
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366044897897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044897911
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366044899607
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366044901456
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-2]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1366044902348
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-2]', --device=1, --instance=0, --go, /home/user3/spring13/ie2147/Desktop/Git/Snake_Plus/software/snake_software/snake_software.elf] return code: 4, 'other error'",1366044905147
error,log,,,"Downloading ELF Process failed",1366044905152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044905236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044907492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044928976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044929015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366044929592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366045019538
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1366045026896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366045027248
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1366045029886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366045029899
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366045030619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366045033977
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366045035858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366045035872
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366045037666
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366045039555
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-2]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1366045040445
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-2]', --device=1, --instance=0, --go, /home/user3/spring13/ie2147/Desktop/Git/Snake_Plus/software/snake_software/snake_software.elf] return code: 4, 'other error'",1366045043286
error,log,,,"Downloading ELF Process failed",1366045043292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366045043337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366045050530
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366045053737
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1366045262029
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1366045262030
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1366045262030
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1366045262031
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1366045262031
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1366045262032
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1366045262032
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1366045262032
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1366045262033
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1366045262034
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1366045262035
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1366045262036
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1366045262037
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1366045262038
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1366045262038
